Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
San Francisco,Company Size,2017-07,51-200,Median Base Pay,62738.0,
Seattle,Company Size,2017-07,1001-5000,Median Base Pay,59182.0,
Seattle,Company Size,2017-07,<51,Median Base Pay,53653.0,
Seattle,Company Size,2017-07,201-500,Median Base Pay,56935.0,
Seattle,Company Size,2017-07,5000+,Median Base Pay,60301.0,
Seattle,Company Size,2017-07,501-1000,Median Base Pay,57815.0,
Seattle,Company Size,2017-07,51-200,Median Base Pay,55722.0,
National,Company Size,2017-08,1001-5000,Median Base Pay,51646.0,
National,Company Size,2017-08,<51,Median Base Pay,46815.0,
National,Company Size,2017-08,201-500,Median Base Pay,49629.0,
National,Company Size,2017-08,5000+,Median Base Pay,52511.0,
National,Company Size,2017-08,501-1000,Median Base Pay,50396.0,
National,Company Size,2017-08,51-200,Median Base Pay,48609.0,
New York City,Company Size,2017-08,1001-5000,Median Base Pay,60634.0,
New York City,Company Size,2017-08,<51,Median Base Pay,54962.0,
New York City,Company Size,2017-08,201-500,Median Base Pay,58266.0,
New York City,Company Size,2017-08,5000+,Median Base Pay,61650.0,
New York City,Company Size,2017-08,501-1000,Median Base Pay,59167.0,
New York City,Company Size,2017-08,51-200,Median Base Pay,57069.0,
Los Angeles,Company Size,2017-08,1001-5000,Median Base Pay,60346.0,
Los Angeles,Company Size,2017-08,<51,Median Base Pay,54701.0,
Los Angeles,Company Size,2017-08,201-500,Median Base Pay,57990.0,
Los Angeles,Company Size,2017-08,5000+,Median Base Pay,61357.0,
Los Angeles,Company Size,2017-08,501-1000,Median Base Pay,58886.0,
Los Angeles,Company Size,2017-08,51-200,Median Base Pay,56798.0,
Chicago,Company Size,2017-08,1001-5000,Median Base Pay,55411.0,
Chicago,Company Size,2017-08,<51,Median Base Pay,50228.0,
Chicago,Company Size,2017-08,201-500,Median Base Pay,53247.0,
Chicago,Company Size,2017-08,5000+,Median Base Pay,56340.0,
Chicago,Company Size,2017-08,501-1000,Median Base Pay,54070.0,
Chicago,Company Size,2017-08,51-200,Median Base Pay,52153.0,
Houston,Company Size,2017-08,1001-5000,Median Base Pay,54389.0,
Houston,Company Size,2017-08,<51,Median Base Pay,49301.0,
Houston,Company Size,2017-08,201-500,Median Base Pay,52265.0,
Houston,Company Size,2017-08,5000+,Median Base Pay,55300.0,
Houston,Company Size,2017-08,501-1000,Median Base Pay,53072.0,
Houston,Company Size,2017-08,51-200,Median Base Pay,51191.0,
Washington DC,Company Size,2017-08,1001-5000,Median Base Pay,59498.0,
Washington DC,Company Size,2017-08,<51,Median Base Pay,53932.0,
Washington DC,Company Size,2017-08,201-500,Median Base Pay,57174.0,
Washington DC,Company Size,2017-08,5000+,Median Base Pay,60495.0,
Washington DC,Company Size,2017-08,501-1000,Median Base Pay,58058.0,
Washington DC,Company Size,2017-08,51-200,Median Base Pay,56000.0,
Philadelphia,Company Size,2017-08,1001-5000,Median Base Pay,54472.0,
Philadelphia,Company Size,2017-08,<51,Median Base Pay,49376.0,
Philadelphia,Company Size,2017-08,201-500,Median Base Pay,52345.0,
Philadelphia,Company Size,2017-08,5000+,Median Base Pay,55384.0,
Philadelphia,Company Size,2017-08,501-1000,Median Base Pay,53153.0,
Philadelphia,Company Size,2017-08,51-200,Median Base Pay,51269.0,
Atlanta,Company Size,2017-08,1001-5000,Median Base Pay,53124.0,
Atlanta,Company Size,2017-08,<51,Median Base Pay,48154.0,
Atlanta,Company Size,2017-08,201-500,Median Base Pay,51049.0,
Atlanta,Company Size,2017-08,5000+,Median Base Pay,54014.0,
Atlanta,Company Size,2017-08,501-1000,Median Base Pay,51838.0,
Atlanta,Company Size,2017-08,51-200,Median Base Pay,50000.0,
Boston,Company Size,2017-08,1001-5000,Median Base Pay,58397.0,
Boston,Company Size,2017-08,<51,Median Base Pay,52935.0,
Boston,Company Size,2017-08,201-500,Median Base Pay,56117.0,
Boston,Company Size,2017-08,5000+,Median Base Pay,59376.0,
Boston,Company Size,2017-08,501-1000,Median Base Pay,56984.0,
Boston,Company Size,2017-08,51-200,Median Base Pay,54964.0,
San Francisco,Company Size,2017-08,1001-5000,Median Base Pay,68079.0,
San Francisco,Company Size,2017-08,<51,Median Base Pay,61710.0,
San Francisco,Company Size,2017-08,201-500,Median Base Pay,65420.0,
San Francisco,Company Size,2017-08,5000+,Median Base Pay,69219.0,
San Francisco,Company Size,2017-08,501-1000,Median Base Pay,66431.0,
San Francisco,Company Size,2017-08,51-200,Median Base Pay,64076.0,
Seattle,Company Size,2017-08,1001-5000,Median Base Pay,60597.0,
Seattle,Company Size,2017-08,<51,Median Base Pay,54929.0,
Seattle,Company Size,2017-08,201-500,Median Base Pay,58231.0,
Seattle,Company Size,2017-08,5000+,Median Base Pay,61612.0,
Seattle,Company Size,2017-08,501-1000,Median Base Pay,59130.0,
Seattle,Company Size,2017-08,51-200,Median Base Pay,57034.0,
National,Company Size,2017-09,1001-5000,Median Base Pay,51258.0,
National,Company Size,2017-09,<51,Median Base Pay,46385.0,
National,Company Size,2017-09,201-500,Median Base Pay,49215.0,
National,Company Size,2017-09,5000+,Median Base Pay,52057.0,
National,Company Size,2017-09,501-1000,Median Base Pay,49913.0,
National,Company Size,2017-09,51-200,Median Base Pay,48158.0,
New York City,Company Size,2017-09,1001-5000,Median Base Pay,60599.0,
New York City,Company Size,2017-09,<51,Median Base Pay,54838.0,
New York City,Company Size,2017-09,201-500,Median Base Pay,58185.0,
New York City,Company Size,2017-09,5000+,Median Base Pay,61545.0,
New York City,Company Size,2017-09,501-1000,Median Base Pay,59010.0,
New York City,Company Size,2017-09,51-200,Median Base Pay,56934.0,
Los Angeles,Company Size,2017-09,1001-5000,Median Base Pay,59409.0,
Los Angeles,Company Size,2017-09,<51,Median Base Pay,53761.0,
Los Angeles,Company Size,2017-09,201-500,Median Base Pay,57042.0,
Los Angeles,Company Size,2017-09,5000+,Median Base Pay,60335.0,
Los Angeles,Company Size,2017-09,501-1000,Median Base Pay,57851.0,
Los Angeles,Company Size,2017-09,51-200,Median Base Pay,55816.0,
Chicago,Company Size,2017-09,1001-5000,Median Base Pay,55130.0,
Chicago,Company Size,2017-09,<51,Median Base Pay,49888.0,
Chicago,Company Size,2017-09,201-500,Median Base Pay,52933.0,
Chicago,Company Size,2017-09,5000+,Median Base Pay,55989.0,
Chicago,Company Size,2017-09,501-1000,Median Base Pay,53684.0,
Chicago,Company Size,2017-09,51-200,Median Base Pay,51795.0,
Houston,Company Size,2017-09,1001-5000,Median Base Pay,54659.0,
Houston,Company Size,2017-09,<51,Median Base Pay,49462.0,
Houston,Company Size,2017-09,201-500,Median Base Pay,52481.0,
Houston,Company Size,2017-09,5000+,Median Base Pay,55511.0,
Houston,Company Size,2017-09,501-1000,Median Base Pay,53225.0,
Houston,Company Size,2017-09,51-200,Median Base Pay,51353.0,
Washington DC,Company Size,2017-09,1001-5000,Median Base Pay,57985.0,
Washington DC,Company Size,2017-09,<51,Median Base Pay,52472.0,
Washington DC,Company Size,2017-09,201-500,Median Base Pay,55674.0,
Washington DC,Company Size,2017-09,5000+,Median Base Pay,58889.0,
Washington DC,Company Size,2017-09,501-1000,Median Base Pay,56464.0,
Washington DC,Company Size,2017-09,51-200,Median Base Pay,54478.0,
Philadelphia,Company Size,2017-09,1001-5000,Median Base Pay,54023.0,
Philadelphia,Company Size,2017-09,<51,Median Base Pay,48887.0,
Philadelphia,Company Size,2017-09,201-500,Median Base Pay,51871.0,
Philadelphia,Company Size,2017-09,5000+,Median Base Pay,54866.0,
Philadelphia,Company Size,2017-09,501-1000,Median Base Pay,52607.0,
Philadelphia,Company Size,2017-09,51-200,Median Base Pay,50756.0,
Atlanta,Company Size,2017-09,1001-5000,Median Base Pay,52585.0,
Atlanta,Company Size,2017-09,<51,Median Base Pay,47585.0,
Atlanta,Company Size,2017-09,201-500,Median Base Pay,50489.0,
Atlanta,Company Size,2017-09,5000+,Median Base Pay,53405.0,
Atlanta,Company Size,2017-09,501-1000,Median Base Pay,51206.0,
Atlanta,Company Size,2017-09,51-200,Median Base Pay,49404.0,
Boston,Company Size,2017-09,1001-5000,Median Base Pay,58545.0,
Boston,Company Size,2017-09,<51,Median Base Pay,52980.0,
Boston,Company Size,2017-09,201-500,Median Base Pay,56213.0,
Boston,Company Size,2017-09,5000+,Median Base Pay,59459.0,
Boston,Company Size,2017-09,501-1000,Median Base Pay,57010.0,
Boston,Company Size,2017-09,51-200,Median Base Pay,55005.0,
San Francisco,Company Size,2017-09,1001-5000,Median Base Pay,67657.0,
San Francisco,Company Size,2017-09,<51,Median Base Pay,61225.0,
San Francisco,Company Size,2017-09,201-500,Median Base Pay,64961.0,
San Francisco,Company Size,2017-09,5000+,Median Base Pay,68712.0,
San Francisco,Company Size,2017-09,501-1000,Median Base Pay,65882.0,
San Francisco,Company Size,2017-09,51-200,Median Base Pay,63565.0,
Seattle,Company Size,2017-09,1001-5000,Median Base Pay,60504.0,
Seattle,Company Size,2017-09,<51,Median Base Pay,54752.0,
Seattle,Company Size,2017-09,201-500,Median Base Pay,58093.0,
Seattle,Company Size,2017-09,5000+,Median Base Pay,61447.0,
Seattle,Company Size,2017-09,501-1000,Median Base Pay,58917.0,
Seattle,Company Size,2017-09,51-200,Median Base Pay,56844.0,
National,Company Size,2017-10,1001-5000,Median Base Pay,51173.0,
National,Company Size,2017-10,<51,Median Base Pay,46161.0,
National,Company Size,2017-10,201-500,Median Base Pay,49007.0,
National,Company Size,2017-10,5000+,Median Base Pay,51837.0,
National,Company Size,2017-10,501-1000,Median Base Pay,49668.0,
National,Company Size,2017-10,51-200,Median Base Pay,48095.0,
New York City,Company Size,2017-10,1001-5000,Median Base Pay,59803.0,
New York City,Company Size,2017-10,<51,Median Base Pay,53945.0,
New York City,Company Size,2017-10,201-500,Median Base Pay,57271.0,
New York City,Company Size,2017-10,5000+,Median Base Pay,60578.0,
New York City,Company Size,2017-10,501-1000,Median Base Pay,58044.0,
New York City,Company Size,2017-10,51-200,Median Base Pay,56205.0,
Los Angeles,Company Size,2017-10,1001-5000,Median Base Pay,59157.0,
Los Angeles,Company Size,2017-10,<51,Median Base Pay,53363.0,
Los Angeles,Company Size,2017-10,201-500,Median Base Pay,56653.0,
Los Angeles,Company Size,2017-10,5000+,Median Base Pay,59924.0,
Los Angeles,Company Size,2017-10,501-1000,Median Base Pay,57418.0,
Los Angeles,Company Size,2017-10,51-200,Median Base Pay,55599.0,
Chicago,Company Size,2017-10,1001-5000,Median Base Pay,55608.0,
Chicago,Company Size,2017-10,<51,Median Base Pay,50161.0,
Chicago,Company Size,2017-10,201-500,Median Base Pay,53254.0,
Chicago,Company Size,2017-10,5000+,Median Base Pay,56329.0,
Chicago,Company Size,2017-10,501-1000,Median Base Pay,53972.0,
Chicago,Company Size,2017-10,51-200,Median Base Pay,52263.0,
Houston,Company Size,2017-10,1001-5000,Median Base Pay,53650.0,
Houston,Company Size,2017-10,<51,Median Base Pay,48395.0,
Houston,Company Size,2017-10,201-500,Median Base Pay,51379.0,
Houston,Company Size,2017-10,5000+,Median Base Pay,54346.0,
Houston,Company Size,2017-10,501-1000,Median Base Pay,52072.0,
Houston,Company Size,2017-10,51-200,Median Base Pay,50423.0,
Washington DC,Company Size,2017-10,1001-5000,Median Base Pay,58415.0,
Washington DC,Company Size,2017-10,<51,Median Base Pay,52693.0,
Washington DC,Company Size,2017-10,201-500,Median Base Pay,55942.0,
Washington DC,Company Size,2017-10,5000+,Median Base Pay,59172.0,
Washington DC,Company Size,2017-10,501-1000,Median Base Pay,56697.0,
Washington DC,Company Size,2017-10,51-200,Median Base Pay,54901.0,
Philadelphia,Company Size,2017-10,1001-5000,Median Base Pay,53828.0,
Philadelphia,Company Size,2017-10,<51,Median Base Pay,48556.0,
Philadelphia,Company Size,2017-10,201-500,Median Base Pay,51549.0,
Philadelphia,Company Size,2017-10,5000+,Median Base Pay,54526.0,
Philadelphia,Company Size,2017-10,501-1000,Median Base Pay,52245.0,
Philadelphia,Company Size,2017-10,51-200,Median Base Pay,50590.0,
Atlanta,Company Size,2017-10,1001-5000,Median Base Pay,52419.0,
Atlanta,Company Size,2017-10,<51,Median Base Pay,47285.0,
Atlanta,Company Size,2017-10,201-500,Median Base Pay,50200.0,
Atlanta,Company Size,2017-10,5000+,Median Base Pay,53099.0,
Atlanta,Company Size,2017-10,501-1000,Median Base Pay,50878.0,
Atlanta,Company Size,2017-10,51-200,Median Base Pay,49266.0,
Boston,Company Size,2017-10,1001-5000,Median Base Pay,58205.0,
Boston,Company Size,2017-10,<51,Median Base Pay,52504.0,
Boston,Company Size,2017-10,201-500,Median Base Pay,55741.0,
Boston,Company Size,2017-10,5000+,Median Base Pay,58960.0,
Boston,Company Size,2017-10,501-1000,Median Base Pay,56494.0,
Boston,Company Size,2017-10,51-200,Median Base Pay,54704.0,
San Francisco,Company Size,2017-10,1001-5000,Median Base Pay,68238.0,
San Francisco,Company Size,2017-10,<51,Median Base Pay,61554.0,
San Francisco,Company Size,2017-10,201-500,Median Base Pay,65349.0,
San Francisco,Company Size,2017-10,5000+,Median Base Pay,69123.0,
San Francisco,Company Size,2017-10,501-1000,Median Base Pay,66231.0,
San Francisco,Company Size,2017-10,51-200,Median Base Pay,64133.0,
Seattle,Company Size,2017-10,1001-5000,Median Base Pay,60502.0,
Seattle,Company Size,2017-10,<51,Median Base Pay,54576.0,
Seattle,Company Size,2017-10,201-500,Median Base Pay,57940.0,
Seattle,Company Size,2017-10,5000+,Median Base Pay,61286.0,
Seattle,Company Size,2017-10,501-1000,Median Base Pay,58723.0,
Seattle,Company Size,2017-10,51-200,Median Base Pay,56862.0,
National,Company Size,2017-11,1001-5000,Median Base Pay,50626.0,
National,Company Size,2017-11,<51,Median Base Pay,45849.0,
National,Company Size,2017-11,201-500,Median Base Pay,48678.0,
National,Company Size,2017-11,5000+,Median Base Pay,51443.0,
National,Company Size,2017-11,501-1000,Median Base Pay,49472.0,
National,Company Size,2017-11,51-200,Median Base Pay,47771.0,
New York City,Company Size,2017-11,1001-5000,Median Base Pay,59699.0,
New York City,Company Size,2017-11,<51,Median Base Pay,54065.0,
New York City,Company Size,2017-11,201-500,Median Base Pay,57402.0,
New York City,Company Size,2017-11,5000+,Median Base Pay,60663.0,
New York City,Company Size,2017-11,501-1000,Median Base Pay,58338.0,
New York City,Company Size,2017-11,51-200,Median Base Pay,56332.0,
Los Angeles,Company Size,2017-11,1001-5000,Median Base Pay,59482.0,
Los Angeles,Company Size,2017-11,<51,Median Base Pay,53869.0,
Los Angeles,Company Size,2017-11,201-500,Median Base Pay,57193.0,
Los Angeles,Company Size,2017-11,5000+,Median Base Pay,60442.0,
Los Angeles,Company Size,2017-11,501-1000,Median Base Pay,58126.0,
Los Angeles,Company Size,2017-11,51-200,Median Base Pay,56128.0,
Chicago,Company Size,2017-11,1001-5000,Median Base Pay,55232.0,
Chicago,Company Size,2017-11,<51,Median Base Pay,50019.0,
Chicago,Company Size,2017-11,201-500,Median Base Pay,53106.0,
Chicago,Company Size,2017-11,5000+,Median Base Pay,56123.0,
Chicago,Company Size,2017-11,501-1000,Median Base Pay,53972.0,
Chicago,Company Size,2017-11,51-200,Median Base Pay,52117.0,
Houston,Company Size,2017-11,1001-5000,Median Base Pay,53948.0,
Houston,Company Size,2017-11,<51,Median Base Pay,48857.0,
Houston,Company Size,2017-11,201-500,Median Base Pay,51872.0,
Houston,Company Size,2017-11,5000+,Median Base Pay,54819.0,
Houston,Company Size,2017-11,501-1000,Median Base Pay,52718.0,
Houston,Company Size,2017-11,51-200,Median Base Pay,50906.0,
Washington DC,Company Size,2017-11,1001-5000,Median Base Pay,58515.0,
Washington DC,Company Size,2017-11,<51,Median Base Pay,52993.0,
Washington DC,Company Size,2017-11,201-500,Median Base Pay,56263.0,
Washington DC,Company Size,2017-11,5000+,Median Base Pay,59459.0,
Washington DC,Company Size,2017-11,501-1000,Median Base Pay,57181.0,
Washington DC,Company Size,2017-11,51-200,Median Base Pay,55215.0,
Philadelphia,Company Size,2017-11,1001-5000,Median Base Pay,53469.0,
Philadelphia,Company Size,2017-11,<51,Median Base Pay,48423.0,
Philadelphia,Company Size,2017-11,201-500,Median Base Pay,51411.0,
Philadelphia,Company Size,2017-11,5000+,Median Base Pay,54332.0,
Philadelphia,Company Size,2017-11,501-1000,Median Base Pay,52250.0,
Philadelphia,Company Size,2017-11,51-200,Median Base Pay,50454.0,
Atlanta,Company Size,2017-11,1001-5000,Median Base Pay,52588.0,
Atlanta,Company Size,2017-11,<51,Median Base Pay,47625.0,
Atlanta,Company Size,2017-11,201-500,Median Base Pay,50564.0,
Atlanta,Company Size,2017-11,5000+,Median Base Pay,53437.0,
Atlanta,Company Size,2017-11,501-1000,Median Base Pay,51389.0,
Atlanta,Company Size,2017-11,51-200,Median Base Pay,49622.0,
Boston,Company Size,2017-11,1001-5000,Median Base Pay,57981.0,
Boston,Company Size,2017-11,<51,Median Base Pay,52509.0,
Boston,Company Size,2017-11,201-500,Median Base Pay,55749.0,
Boston,Company Size,2017-11,5000+,Median Base Pay,58916.0,
Boston,Company Size,2017-11,501-1000,Median Base Pay,56659.0,
Boston,Company Size,2017-11,51-200,Median Base Pay,54711.0,
San Francisco,Company Size,2017-11,1001-5000,Median Base Pay,67151.0,
San Francisco,Company Size,2017-11,<51,Median Base Pay,60814.0,
San Francisco,Company Size,2017-11,201-500,Median Base Pay,64567.0,
San Francisco,Company Size,2017-11,5000+,Median Base Pay,68235.0,
San Francisco,Company Size,2017-11,501-1000,Median Base Pay,65620.0,
San Francisco,Company Size,2017-11,51-200,Median Base Pay,63364.0,
Seattle,Company Size,2017-11,1001-5000,Median Base Pay,60112.0,
Seattle,Company Size,2017-11,<51,Median Base Pay,54439.0,
Seattle,Company Size,2017-11,201-500,Median Base Pay,57798.0,
Seattle,Company Size,2017-11,5000+,Median Base Pay,61082.0,
Seattle,Company Size,2017-11,501-1000,Median Base Pay,58741.0,
Seattle,Company Size,2017-11,51-200,Median Base Pay,56722.0,
National,Company Size,2017-12,1001-5000,Median Base Pay,50953.0,
National,Company Size,2017-12,<51,Median Base Pay,46184.0,
National,Company Size,2017-12,201-500,Median Base Pay,49049.0,
National,Company Size,2017-12,5000+,Median Base Pay,51834.0,
National,Company Size,2017-12,501-1000,Median Base Pay,49840.0,
National,Company Size,2017-12,51-200,Median Base Pay,48155.0,
New York City,Company Size,2017-12,1001-5000,Median Base Pay,60860.0,
New York City,Company Size,2017-12,<51,Median Base Pay,55164.0,
New York City,Company Size,2017-12,201-500,Median Base Pay,58585.0,
New York City,Company Size,2017-12,5000+,Median Base Pay,61913.0,
New York City,Company Size,2017-12,501-1000,Median Base Pay,59530.0,
New York City,Company Size,2017-12,51-200,Median Base Pay,57518.0,
Los Angeles,Company Size,2017-12,1001-5000,Median Base Pay,59131.0,
Los Angeles,Company Size,2017-12,<51,Median Base Pay,53597.0,
Los Angeles,Company Size,2017-12,201-500,Median Base Pay,56921.0,
Los Angeles,Company Size,2017-12,5000+,Median Base Pay,60154.0,
Los Angeles,Company Size,2017-12,501-1000,Median Base Pay,57839.0,
Los Angeles,Company Size,2017-12,51-200,Median Base Pay,55884.0,
Chicago,Company Size,2017-12,1001-5000,Median Base Pay,54651.0,
Chicago,Company Size,2017-12,<51,Median Base Pay,49536.0,
Chicago,Company Size,2017-12,201-500,Median Base Pay,52609.0,
